FIQ-3224,0.840211077
FIQ-3227,0.840211077
FIQ-3231,0.751746687
FIC-3223,0.400028823
FIC-3403,0.391152123
FIC-3204,0.208154021
FIC-3203,0.207956841
FIC-3213,0.197560406
FIC-3222,0.176026744
LIC-3204,0.175149097
LIC-3206,0.166916512
TI-3237,0.15877192
FIC-3206,0.153975757
TI-3242,0.14375359
LIC-3205,0.140828996
FIC-3207,0.126834987
TI-3216,0.121734213
TI-3207A,0.120793348
TI-3217,0.120328095
F-5137,0.119966067
TI-5183A,0.113533
TI-3245,0.108991878
FIC-3214,0.108463964
TI-3236,0.098108658
FIC-3404,0.093181335
LIC-3201,0.088836168
FIC-3202,0.076671025
PIC-3401,0.076074907
TI-3222,0.072072309
TI-3212,0.071348072
TIC-3201,0.069625872
TI-3243,0.068945711
PI-3203,0.068891499
LIC-3208,0.067768465
FIC-3201,0.065424164
TI-3223,0.063536818
TI-3206A,0.054835423
TI-3208,0.054491003
TI-3211A,0.051741041
TI-3244,0.049081054
TI-3209B,0.048032875
TI-3220C,0.043893513
TI-3209A,0.042497928
TIC-3203,0.038605797
TI-3215,0.036890074
LIC-3207,0.017312335
