FIQ-3224,0.811599256
FIQ-3227,0.811599256
FIQ-3231,0.7379742
FIC-3223,0.376063215
FIC-3403,0.3392178
FIC-3207,0.25462928
LIC-3206,0.242727339
FIC-3222,0.226598173
FIC-3213,0.22155917
TI-3237,0.221545051
LIC-3204,0.218225071
TI-3216,0.21194775
TI-3217,0.210993198
FIC-3206,0.17292324
FIC-3204,0.167698801
FIC-3404,0.16705857
FIC-3203,0.155004331
TI-3222,0.150553214
FIC-3214,0.14048007
LIC-3201,0.126196828
TI-3245,0.123725033
LIC-3205,0.123601869
TI-3243,0.122355986
TIC-3201,0.121792182
PIC-3401,0.115010635
TI-3223,0.113861995
F-5137,0.111636034
PI-3203,0.110779295
TI-3207A,0.106929588
LIC-3208,0.102016964
TI-3242,0.097975565
TI-3236,0.097833115
FIC-3202,0.081290775
TI-3211A,0.074645611
TI-3209A,0.074166274
TI-5183A,0.071460015
TI-3208,0.067346489
TIC-3203,0.065333697
FIC-3201,0.062237808
TI-3220C,0.057996193
TI-3244,0.045985681
TI-3212,0.03334245
TI-3215,0.031839254
TI-3209B,0.029412846
TI-3206A,0.0234126
LIC-3207,0.012684173
